ut_time,tokens_used,model,co2_grams_estimate
2026-07-11T18:24:35Z,112348,claude-opus-4-8,8.54
2026-07-11T18:28:33Z,57792,claude-opus-4-8,4.39
2026-07-11T18:34:25Z,12625,claude-opus-4-8,0.96
2026-07-11T18:35:31Z,53650,claude-opus-4-8,4.08
2026-07-11T18:58:34Z,45043,claude-opus-4-8,3.42
2026-07-11T19:08:14Z,23093,claude-opus-4-8,1.76
2026-07-11T19:14:03Z,51040,claude-opus-4-8,3.88
2026-07-12T13:08:26Z,252040,claude-opus-4-8,19.16
2026-07-13T15:51:22Z,154130,claude-opus-4-8,11.71
2026-08-10T18:35:57Z,15931,claude-opus-4-8,1.21
2026-08-10T19:13:12Z,195445,claude-opus-4-8,14.85
2026-08-10T19:32:08Z,70983,claude-opus-4-8,5.39
