TNS,FRB_RA,FRB_Dec,FRB_DM,FRB_Survey,FRB_tags,Pri_name,Pri_RA,Pri_Dec,Pri_POx,Pri_mag,Pri_filter,Sec_name,Sec_RA,Sec_Dec,Sec_POx,Sec_mag,Sec_filter,mode,Resource
FRB20250408A,317.8118481,77.29225478,622.7363891602,CHIME/FRB,CHIME-Repeater,J211115.21+771732.77,317.81336582,77.29243706,0.9271797387,20.98,Pan-STARRS1:GPC1-r,J211115.38+771726.44,317.81409974,77.290679,0.0323039785,20.8,Pan-STARRS1:GPC1-r,longslit,Keck-2026B-01
FRB20250411A,112.6515826,31.22605845,627.9932250977,CHIME/FRB,"CHIME-Unbiased,CHIME-Unseen-Medium",J073036.48+311335.83,112.65199854,31.226619089,0.8021557843,25.61,Gemini North:GMOS-r,J073036.84+311329.79,112.65348684,31.224940468,1e-10,26.02,Gemini North:GMOS-r,longslit,Keck-2026B-01
FRB20240106A,100.90029498050001,60.3520232257,1118.4215966264,CHIME/FRB,"CHIME-Blind,CHIME-HighDM",J064336.02+602101.53,100.9000919989,60.3504251286,0.9390872175,22.52,Blanco:DECam-r,J064335.29+602053.87,100.8970512584,60.3482972228,0.0009451976,22.26,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260102A,29.121409,13.868473,450.8773193359,CHIME/FRB,CHIME-Blind,J015629.02+135158.50,29.1209007981,13.8662507058,0.9482718243,21.18,Blanco:DECam-r,J015629.25+135202.83,29.1218841935,13.8674514054,0.0003598024,24.18,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260418B,92.761051,39.359665,211.270444,CHIME/FRB,CHIME-Lowz,J061102.72+392133.41,92.76134818,39.35928135,0.9763841001,20.23,Pan-STARRS1:GPC1-r,J061102.42+392154.91,92.76009937,39.36525398,5.143952393e-105,21.64,Pan-STARRS1:GPC1-r,longslit,Keck-2026B-01
FRB20260418A,140.184344,36.354256,374.863721,CHIME/FRB,CHIME-Unbiased,J092044.43+362116.30,140.1851271232,36.3545271248,0.672906601,21.2,Blanco:DECam-r,J092044.32+362114.23,140.1846471826,36.3539530016,0.3269200251,22.5,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260502A,278.486729,46.861466,809.9616699219,CHIME/FRB,CHIME-Unbiased,J183356.81+465141.43,278.4866886915,46.8615084959,0.9997517358,22.39,Blanco:DECam-r,J183356.93+465152.35,278.4872237804,46.8645408912,3.10437357e-226,24.83,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260514A,127.127584,69.239723,617.4794921875,CHIME/FRB,CHIME-Unbiased,J082830.61+691422.75,127.1275614616,69.2396522182,0.9997330232,20.27,Blanco:DECam-r,J082846.16+691352.61,127.1923370421,69.2312807068,0.0,20.78,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260503B,142.159443,18.153962,628.397644043,CHIME/FRB,CHIME-Unbiased,J092838.28+180914.83,142.1594944296,18.1541184991,0.9987116303,20.87,Blanco:DECam-r,J092837.76+180910.50,142.1573462206,18.1529169028,5e-10,22.18,Blanco:DECam-r,longslit,Keck-2026B-01
FRB20260627D,243.445004,68.259706,280.2313842773,CHIME/FRB,"CHIME-Unbiased,CHIME-Lowz",J161346.62+681535.35,243.444251887,68.2598201843,0.999945663,19.64,Blanco:DECam-r,J161346.31+681535.43,243.4429727953,68.2598425997,0.0,23.19,Blanco:DECam-r,longslit,Keck-2026B-01
