TNS,RA_deg,Dec_deg,RA_hours,mag_r,POx,tags,DM,lris_mode,info,min_airmass,min_am_time_hst,min_am_ha,min_am_alt,am_evening,ha_evening,alt_evening,am_morning,ha_morning,alt_morning,observable_hours,observable,limit_reason
FRB20260102A,29.1209007981,13.8662507058,1.94139338654,21.18,0.9482718243,CHIME-Blind,450.8773193359,MOS (mask required),Mag 21.2 > 21: MOS mask required (~1.0h once milled),1.0055025558309931,2026-10-03 01:37:00-10:00,0.12291940204347651,84.00310391990291,23.948694850480567,-6.144192983584304,2.3931342687575876,1.5716882424031595,3.532228527500185,39.51338750981671,7.5,True,
FRB20260418B,92.76134818,39.35928135,6.184089878666667,20.23,0.9763841001,CHIME-Lowz,211.270444,longslit,,1.098675424102603,2026-10-03 04:37:00-10:00,-1.111563155335066,65.53119523409221,99.9,-10.386889475710971,-26.79790317256465,1.0766223024600916,-0.7104679646264813,68.25329201451788,3.5,True,
FRB20240106A,100.9000919989,60.3504251286,6.726672799926666,22.52,0.9390872175,"CHIME-Blind,CHIME-HighDM",1118.4215966264,MOS (mask required),Mag 22.5 > 21: MOS mask required (~1.0h once milled),1.3977876749741251,2026-10-03 04:37:00-10:00,-1.6541460765950653,45.677321768923484,99.9,-10.92947239697097,-8.873643101223225,1.3622995975535785,-1.2530508858864806,47.22724970770547,2.75,True,
FRB20250411A,112.65199854,31.226619089,7.510133236,25.61,0.8021557843,"CHIME-Unbiased,CHIME-Unseen-Medium",627.9932250977,MOS (mask required),Mag 25.6 > 21: MOS mask required (~2.0h once milled),1.2218090320642025,2026-10-03 04:37:00-10:00,-2.437606512668399,54.93078107900678,99.9,-11.712932833044304,-38.86621541312761,1.1551604714482753,-2.0365113219598143,59.96051096978549,2.0,True,
FRB20260514A,127.1275614616,69.2396522182,8.475170764106666,20.27,0.9997330232,CHIME-Unbiased,617.4794921875,longslit,,1.906386565763969,2026-10-03 04:37:00-10:00,-3.4026440407750655,31.638128340121373,99.9,11.32202963884903,-0.6835443602401334,1.8150388182753718,-3.001548850066481,33.43237641365649,0.5,False,"Vignetted by Keck I Nasmyth deck (az 19°, alt 32° - needs 33° in az 5-146°)"
FRB20260418A,140.1851271232,36.3545271248,9.345675141546668,21.2,0.672906601,CHIME-Unbiased,374.863721,MOS (mask required),Mag 21.2 > 21: MOS mask required (~1.0h once milled),1.8973470594460091,2026-10-03 04:37:00-10:00,-4.273148418215069,31.80646590070722,99.9,10.451525261409028,-29.639297455443582,1.674937168399705,-3.872053227506484,36.65800477542417,0.25,False,"Vignetted by Keck I Nasmyth deck (az 59°, alt 32° - needs 33° in az 5-146°)"
FRB20260503B,142.1594944296,18.1541184991,9.477299628639999,20.87,0.9987116303,CHIME-Unbiased,628.397644043,longslit,,2.162105026370826,2026-10-03 04:37:00-10:00,-4.404772905308398,27.549335783290235,99.9,10.319900774315697,-44.5731252854675,1.8298799355919302,-4.003677714599814,33.12612945603644,0.0,False,"Vignetted by Keck I Nasmyth deck (az 79°, alt 28° - needs 33° in az 5-146°)"
FRB20260627D,243.444251887,68.2598201843,16.22961679246667,19.64,0.999945663,"CHIME-Unbiased,CHIME-Lowz",280.2313842773,longslit,,1.91304699107197,2026-10-02 19:22:00-10:00,3.5675836104890273,31.515305491288714,1.91304699107197,3.5675836104890273,31.515305491288714,99.9,-10.755994878426485,-0.9238505446529423,0.5,False,Below horizon all night
FRB20260502A,278.4866886915,46.8615084959,18.5657792461,22.39,0.9997517358,CHIME-Unbiased,809.9616699219,MOS (mask required),Mag 22.4 > 21: MOS mask required (~1.0h once milled),1.1653953534118753,2026-10-02 19:22:00-10:00,1.2314211568556956,59.101450038522444,1.1653953534118753,1.2314211568556956,59.101450038522444,99.9,10.907842667940184,-21.629714086603034,3.25,True,
FRB20250408A,317.81336582,77.29243706,21.187557721333334,20.98,0.9271797387,CHIME-Repeater,622.7363891602,longslit,,1.8655091830916195,2026-10-02 20:52:00-10:00,0.11374965647117818,32.41492239990876,1.9126536837962316,-1.3903573183776388,31.522530107014664,4.646862523117356,8.28606419270685,12.42720033280342,3.75,True,
