TNS,FRB_RA,FRB_Dec,FRB_DM,FRB_Survey,FRB_tags,Pri_name,Pri_RA,Pri_Dec,Pri_POx,Pri_mag,Pri_filter,Sec_name,Sec_RA,Sec_Dec,Sec_POx,Sec_mag,Sec_filter,mode,Resource
FRB20230805A,36.01767309,52.69548717,638.506958,CHIME/FRB,"CHIME-Repeater,CHIME-Blind",J022403.98+524135.99,36.01659469,52.69333013,0.770977648,17.99,Pan-STARRS1:GPC1-r,J022404.62+524215.30,36.01923412,52.70425046,0.0452145973,19.77,Pan-STARRS1:GPC1-r,longslit,Lick-2026B-01
FRB20231223B,78.699512,48.754654,499.4022217,CHIME/FRB,CHIME-Repeater,J051447.75+484503.64,78.69896964,48.75101202,0.9181678926,16.27,Pan-STARRS1:GPC1-r,J051447.07+484433.00,78.69612752,48.74249999,0.014537511,19.88,Pan-STARRS1:GPC1-r,longslit,Lick-2026B-01
FRB20250202A,181.320338,76.6477,724.234314,CHIME/FRB,CHIME-GBO,J120516.27+763844.90,181.3178015051,76.6458046532,0.6824789297,18.97,Blanco:DECam-r,J120516.78+763850.41,181.3199359792,76.6473372555,0.2727976387,22.38,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20250102C,103.9977148892,84.0869618467,153.8413547,CHIME/FRB,CHIME-Blind,J065610.52+840444.17,104.04382774,84.0789364,0.9713662767,13.32,Pan-STARRS1:GPC1-r,J065623.20+840500.67,104.09665996,84.08351972,0.0130861911,15.25,Pan-STARRS1:GPC1-r,longslit,Lick-2026B-01
FRB20240324A,192.8406541702,78.8313046483,163.7135499,CHIME/FRB,CHIME-Blind,J125121.51+784957.44,192.8396231337,78.8326217215,0.956057952,19.18,Blanco:DECam-r,J125119.17+785029.28,192.8298659062,78.8414662871,3.26e-08,22.64,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20240901A,147.2556413399,75.191532266,506.3866774,CHIME/FRB,CHIME-Blind,J094901.75+751120.22,147.2572772265,75.188948964,0.9900055802,19.05,Blanco:DECam-r,J094902.34+751128.68,147.2597522335,75.1913006735,0.001534459,20.84,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20251003A,151.10885,84.698867,267.977034,CHIME/FRB,"CHIME-Unbiased,CHIME-Lowz",J100425.57+844155.38,151.1065618269,84.6987154154,0.9458619479,16.37,Blanco:DECam-r,J100424.60+844157.83,151.1025193964,84.6993983074,0.0501893345,18.29,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20250902A,24.300156,11.488506,364.359683,CHIME/FRB,CHIME-Unbiased,J013712.16+112916.98,24.3006635935,11.4880505847,0.994768617,18.57,Blanco:DECam-r,J013712.21+112920.98,24.3008725082,11.4891601452,0.001775381,23.08,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20200621B,231.7782391,58.72501221,637.2938232422,CHIME/FRB,CHIME-Blind,J152707.55+584319.10,231.7814513706,58.7219726288,0.9212031556,16.87,Blanco:DECam-r,J152707.48+584352.42,231.7811679153,58.7312286555,0.0043179403,21.54,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20200702C,8.2691015342,28.8343214543,201.3043743674,CHIME/FRB,CHIME-Repeater,J003304.69+284952.56,8.269527057,28.831266587,0.9962284555,15.98,Blanco:DECam-r,J003304.17+284933.39,8.2673656701,28.825940314,0.0011941841,21.88,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20201128D,183.1104776,73.29215525,158.1103363037,CHIME/FRB,CHIME-Blind,J121229.87+731742.88,183.1244416308,73.2952447428,0.9572675882,16.32,Blanco:DECam-r,J121228.52+731741.56,183.1188141976,73.2948786749,0.0064325659,21.27,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20230729A,236.053760116,39.5528178636,599.7937883969,CHIME/FRB,CHIME-Blind,J154413.00+393323.25,236.05418177,39.5564569605,0.9620048996,18.44,Blanco:DECam-r,J154412.82+393245.59,236.05342194,39.5459980754,0.0162556751,20.99,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20260310B,175.720437,79.618845,287.5101013184,CHIME/FRB,"CHIME-Unbiased,CHIME-Lowz",J114252.56+793705.46,175.7190158354,79.6181846565,0.9982330799,18.95,Blanco:DECam-r,J114252.24+793702.80,175.7176758773,79.6174439637,0.0,23.24,Blanco:DECam-r,longslit,Lick-2026B-01
FRB20260215E,190.236591,67.947053,403.1611328125,CHIME/FRB,CHIME-Unbiased,J124056.95+675647.80,190.23728163,67.9466119699,0.9920899679,19.79,Blanco:DECam-r,J124055.51+675657.27,190.2312747483,67.9492430123,1.023025447e-92,23.75,Blanco:DECam-r,longslit,Lick-2026B-01
