TNS,RA_deg,Dec_deg,RA_hours,mag_r,POx,tags,DM,min_airmass,min_am_time_pst,min_am_ha,am_evening,ha_evening,am_morning,ha_morning,observable,limit_reason
FRB20200702C,8.269527057,28.831266587,0.5513018037999999,15.98,0.9962284555,CHIME-Repeater,201.3043743674,1.010762430060316,2026-08-14 03:08:00-08:00,-0.0014114809370013859,5.119915880461769,-6.519207362948954,1.0198620478761893,0.6336558079551227,True,
FRB20250902A,24.3006635935,11.4880505847,1.6200442395666668,18.57,0.994768617,CHIME-Unbiased,364.359683,1.1337182302693616,2026-08-14 03:23:00-08:00,-0.8194694605199153,99.9,-7.58794979871562,1.1168914865284627,-0.4350866278115433,True,
FRB20230805A,36.01659469,52.69333013,2.4011063126666667,17.99,0.770977648,"CHIME-Repeater,CHIME-Blind",638.506958,1.086232055549689,2026-08-14 03:23:00-08:00,-1.6005315336199182,4.98000642466723,-8.36901187181562,1.065648639646372,-1.2161487009115426,True,
FRB20231223B,78.69896964,48.75101202,5.246597976,16.27,0.9181678926,CHIME-Repeater,499.4022217,1.5167828401099852,2026-08-14 03:23:00-08:00,-4.446023196953249,99.9,-11.214503535148953,1.4148663898403908,-4.061640364244877,True,
FRB20240901A,147.2572772265,75.188948964,9.8171518151,19.05,0.9900055802,CHIME-Blind,506.3866774,2.102139067006169,2026-08-13 20:38:00-08:00,8.214942625751046,2.102139067006169,8.214942625751046,2.202365040672653,-8.632194203344879,False,HA 8.21h > +3.75h limit (too far west)
FRB20260310B,175.7190158354,79.6181846565,11.714601055693333,18.95,0.9982330799,"CHIME-Unbiased,CHIME-Lowz",287.5101013184,1.708583344866832,2026-08-13 20:38:00-08:00,6.317493385157714,1.708583344866832,6.317493385157714,2.1674930668043575,-10.52964344393821,False,HA 6.32h > +3.75h limit (too far west)
FRB20250202A,181.3178015051,76.6458046532,12.087853433673333,18.97,0.6824789297,CHIME-GBO,724.234314,1.6847761362573443,2026-08-13 20:38:00-08:00,5.944241007177714,1.6847761362573443,5.944241007177714,2.4299813983263645,-10.90289582191821,False,HA 5.94h > +3.75h limit (too far west)
FRB20201128D,183.1244416308,73.2952447428,12.208296108719999,16.32,0.9572675882,CHIME-Blind,158.1103363037,1.6880692031328162,2026-08-13 20:38:00-08:00,5.823798332131048,1.6880692031328162,5.823798332131048,2.799155478055406,-11.023338496964877,False,HA 5.82h > +3.75h limit (too far west)
FRB20260215E,190.23728163,67.9466119699,12.682485442,19.79,0.9920899679,CHIME-Unbiased,403.1611328125,1.628865136546889,2026-08-13 20:38:00-08:00,5.349608998851046,1.628865136546889,5.349608998851046,3.7925008102485576,-11.497527830244879,False,HA 5.35h > +3.75h limit (too far west)
FRB20240324A,192.8396231337,78.8326217215,12.85597487558,19.18,0.956057952,CHIME-Blind,163.7135499,1.5908193186640225,2026-08-13 20:38:00-08:00,5.176119565271048,1.5908193186640225,5.176119565271048,2.2757183830709975,-11.671017263824877,False,HA 5.18h > +3.75h limit (too far west)
FRB20200621B,231.7814513706,58.7219726288,15.45209675804,16.87,0.9212031556,CHIME-Blind,637.2938232422,1.1882542076430322,2026-08-13 20:38:00-08:00,2.5799976828110474,1.1882542076430322,2.5799976828110474,5.698287421800794,9.732860853715122,True,
FRB20230729A,236.05418177,39.5564569605,15.736945451333334,18.44,0.9620048996,CHIME-Blind,599.7937883969,1.119462872745593,2026-08-13 20:38:00-08:00,2.2951489895177133,1.119462872745593,2.2951489895177133,99.9,9.448012160421788,True,
